timestamp,session,status
1711327423270,adaptation,ENTER
1711327723352,adaptation,EXIT
1711327723352,baseline,ENTER
1711327902989,baseline,EXIT
1711327953828,tsst-prep,ENTER
1711328133040,tsst-prep,EXIT
1711328133040,tsst-speech,ENTER
1711328315830,tsst-speech,EXIT
1711328379895,meditation-1,ENTER
1711328679770,meditation-1,EXIT
1711328719005,screen-reading,ENTER
1711328898786,screen-reading,EXIT
1711328948659,ssst-prep,ENTER
1711328978704,ssst-prep,EXIT
1711328978704,ssst-sing,ENTER
1711329008895,ssst-sing,EXIT
1711329049368,meditation-2,ENTER
1711329349147,meditation-2,EXIT
1711329380781,keyboard-typing,ENTER
1711329560485,keyboard-typing,EXIT
1711329578862,rest-1,ENTER
1711329698567,rest-1,EXIT
1711329718857,mobile-typing,ENTER
1711329898207,mobile-typing,EXIT
1711329908574,rest-2,ENTER
1711330027875,rest-2,EXIT
1711330054943,standing,ENTER
1711330234484,standing,EXIT
1711330242621,rest-3,ENTER
1711330361908,rest-3,EXIT
1711330426830,walking,ENTER
1711330546485,walking,EXIT
1711330562834,rest-4,ENTER
1711330682175,rest-4,EXIT
1711330715053,jogging,ENTER
1711330834691,jogging,EXIT
1711330852560,rest-5,ENTER
1711330971959,rest-5,EXIT
1711331017996,running,ENTER
1711331137204,running,EXIT
