timestamp,session,status
1710985860147,adaptation,ENTER
1710986150568,adaptation,EXIT
1710986150568,baseline,ENTER
1710986331561,baseline,EXIT
1710986382755,tsst-prep,ENTER
1710986562147,tsst-prep,EXIT
1710986562147,tsst-speech,ENTER
1710986746085,tsst-speech,EXIT
1710986811553,meditation-1,ENTER
1710987111528,meditation-1,EXIT
1710987158425,screen-reading,ENTER
1710987337215,screen-reading,EXIT
1710987386436,ssst-prep,ENTER
1710987415951,ssst-prep,EXIT
1710987415951,ssst-sing,ENTER
1710987447422,ssst-sing,EXIT
1710987496286,meditation-2,ENTER
1710987794617,meditation-2,EXIT
1710987837514,keyboard-typing,ENTER
1710988015099,keyboard-typing,EXIT
1710988030895,rest-1,ENTER
1710988149308,rest-1,EXIT
1710988173714,mobile-typing,ENTER
1710988351132,mobile-typing,EXIT
1710988363342,rest-2,ENTER
1710988482059,rest-2,EXIT
1710988505657,standing,ENTER
1710988683945,standing,EXIT
1710988697203,rest-3,ENTER
1710988814317,rest-3,EXIT
1710988892784,walking,ENTER
1710989010806,walking,EXIT
1710989025309,rest-4,ENTER
1710989143706,rest-4,EXIT
1710989182865,jogging,ENTER
1710989301998,jogging,EXIT
1710989313817,rest-5,ENTER
1710989433033,rest-5,EXIT
1710989468132,running,ENTER
1710989586347,running,EXIT
