timestamp,session,status
1710832260221,adaptation,ENTER
1710832579345,adaptation,EXIT
1710832579345,baseline,ENTER
1710832763090,baseline,EXIT
1710832792937,tsst-prep,ENTER
1710832978142,tsst-prep,EXIT
1710832978142,tsst-speech,ENTER
1710833166477,tsst-speech,EXIT
1710833184475,meditation-1,ENTER
1710833484764,meditation-1,EXIT
1710833504009,screen-reading,ENTER
1710833685321,screen-reading,EXIT
1710833700918,ssst-prep,ENTER
1710833731069,ssst-prep,EXIT
1710833731069,ssst-sing,ENTER
1710833762842,ssst-sing,EXIT
1710833776487,meditation-2,ENTER
1710834084578,meditation-2,EXIT
1710834168406,keyboard-typing,ENTER
1710834349040,keyboard-typing,EXIT
1710834349040,rest-1,ENTER
1710834475023,rest-1,EXIT
1710834490032,mobile-typing,ENTER
1710834671651,mobile-typing,EXIT
1710834679316,rest-2,ENTER
1710834800997,rest-2,EXIT
1710834815594,standing,ENTER
1710834996531,standing,EXIT
1710834996531,rest-3,ENTER
1710835124273,rest-3,EXIT
1710835169101,walking,ENTER
1710835289648,walking,EXIT
1710835289648,rest-4,ENTER
1710835422309,rest-4,EXIT
1710835453449,jogging,ENTER
1710835576600,jogging,EXIT
1710835576600,rest-5,ENTER
1710835741406,rest-5,EXIT
1710835766283,running,ENTER
1710835885132,running,EXIT
