timestamp,session,status
1712124773449,adaptation,ENTER
1712125073661,adaptation,EXIT
1712125073661,baseline,ENTER
1712125253801,baseline,EXIT
1712125305199,tsst-prep,ENTER
1712125485250,tsst-prep,EXIT
1712125485250,tsst-speech,ENTER
1712125665592,tsst-speech,EXIT
1712125709224,meditation-1,ENTER
1712126009285,meditation-1,EXIT
1712126043232,screen-reading,ENTER
1712126223177,screen-reading,EXIT
1712126282479,ssst-prep,ENTER
1712126312687,ssst-prep,EXIT
1712126312687,ssst-sing,ENTER
1712126342976,ssst-sing,EXIT
1712126375851,meditation-2,ENTER
1712126675825,meditation-2,EXIT
1712126703818,keyboard-typing,ENTER
1712126883860,keyboard-typing,EXIT
1712126903478,rest-1,ENTER
1712127023498,rest-1,EXIT
1712127042280,mobile-typing,ENTER
1712127222269,mobile-typing,EXIT
1712127233583,rest-2,ENTER
1712127353960,rest-2,EXIT
1712127372378,standing,ENTER
1712127552208,standing,EXIT
1712127561004,rest-3,ENTER
1712127681206,rest-3,EXIT
1712127771200,walking,ENTER
1712127891267,walking,EXIT
1712127902543,rest-4,ENTER
1712128022520,rest-4,EXIT
1712128046024,jogging,ENTER
1712128166115,jogging,EXIT
1712128183127,rest-5,ENTER
1712128303100,rest-5,EXIT
1712128339556,running,ENTER
1712128459411,running,EXIT
