timestamp,session,status
1711092030735,adaptation,ENTER
1711092327295,adaptation,EXIT
1711092327295,baseline,ENTER
1711092506792,baseline,EXIT
1711092554738,tsst-prep,ENTER
1711092734227,tsst-prep,EXIT
1711092734227,tsst-speech,ENTER
1711092917324,tsst-speech,EXIT
1711092968743,meditation-1,ENTER
1711093267999,meditation-1,EXIT
1711093300942,screen-reading,ENTER
1711093480331,screen-reading,EXIT
1711093516591,ssst-prep,ENTER
1711093546552,ssst-prep,EXIT
1711093546552,ssst-sing,ENTER
1711093576316,ssst-sing,EXIT
1711093608163,meditation-2,ENTER
1711093907583,meditation-2,EXIT
1711093943531,keyboard-typing,ENTER
1711094122991,keyboard-typing,EXIT
1711094139208,rest-1,ENTER
1711094257970,rest-1,EXIT
1711094280266,mobile-typing,ENTER
1711094459515,mobile-typing,EXIT
1711094471068,rest-2,ENTER
1711094590400,rest-2,EXIT
1711094613901,standing,ENTER
1711094792945,standing,EXIT
1711094800759,rest-3,ENTER
1711094920098,rest-3,EXIT
1711094974637,walking,ENTER
1711095093924,walking,EXIT
1711095105043,rest-4,ENTER
1711095224306,rest-4,EXIT
1711095258392,jogging,ENTER
1711095379062,jogging,EXIT
1711095392089,rest-5,ENTER
1711095511401,rest-5,EXIT
1711095550815,running,ENTER
1711095670446,running,EXIT
