timestamp,session,status
1711604804467,adaptation,ENTER
1711605104262,adaptation,EXIT
1711605104262,baseline,ENTER
1711605284243,baseline,EXIT
1711605334375,tsst-prep,ENTER
1711605514500,tsst-prep,EXIT
1711605514500,tsst-speech,ENTER
1711605696035,tsst-speech,EXIT
1711605750088,meditation-1,ENTER
1711606050186,meditation-1,EXIT
1711606089211,screen-reading,ENTER
1711606269385,screen-reading,EXIT
1711606310337,ssst-prep,ENTER
1711606340532,ssst-prep,EXIT
1711606340532,ssst-sing,ENTER
1711606370780,ssst-sing,EXIT
1711606412574,meditation-2,ENTER
1711606712724,meditation-2,EXIT
1711606746951,keyboard-typing,ENTER
1711606927211,keyboard-typing,EXIT
1711606949421,rest-1,ENTER
1711607069584,rest-2,EXIT
1711607093129,mobile-typing,ENTER
1711607273322,mobile-typing,EXIT
1711607283450,rest-2,ENTER
1711607403705,rest-2,EXIT
1711607431868,standing,ENTER
1711607612524,standing,EXIT
1711607623491,rest-3,ENTER
1711607743603,rest-3,EXIT
1711607790613,walking,ENTER
1711607910721,walking,EXIT
1711607925723,rest-4,ENTER
1711608045882,rest-4,EXIT
1711608074194,jogging,ENTER
1711608194337,jogging,EXIT
1711608207767,rest-5,ENTER
1711608355533,rest-5,EXIT
1711608393428,running,ENTER
1711608513434,running,EXIT
