timestamp,session,status
1712819627487,adaptation,ENTER
1712819927735,adaptation,EXIT
1712819927735,baseline,ENTER
1712820107550,baseline,EXIT
1712820154110,tsst-prep,ENTER
1712820334353,tsst-prep,EXIT
1712820334353,tsst-speech,ENTER
1712820514334,tsst-speech,EXIT
1712820577114,meditation-1,ENTER
1712820877372,meditation-1,EXIT
1712820913675,screen-reading,ENTER
1712821093689,screen-reading,EXIT
1712821131910,ssst-prep,ENTER
1712821162085,ssst-prep,EXIT
1712821162085,ssst-sing,ENTER
1712821192081,ssst-sing,EXIT
1712821227159,meditation-2,ENTER
1712821527460,meditation-2,EXIT
1712821564956,keyboard-typing,ENTER
1712821744948,keyboard-typing,EXIT
1712821765588,rest-1,ENTER
1712821885813,rest-1,EXIT
1712821902962,mobile-typing,ENTER
1712822083118,mobile-typing,EXIT
1712822092511,rest-2,ENTER
1712822212353,rest-2,EXIT
1712822240107,standing,ENTER
1712822420194,standing,EXIT
1712822428603,rest-3,ENTER
1712822548870,rest-3,EXIT
1712822592491,walking,ENTER
1712822712548,walking,EXIT
1712822724876,rest-4,ENTER
1712822844936,rest-4,EXIT
1712822872622,jogging,ENTER
1712822992758,jogging,EXIT
1712823006703,rest-5,ENTER
1712823126850,rest-5,EXIT
1712823159752,running,ENTER
1712823279674,running,EXIT
