timestamp,session,status
1712226201044,adaptation,ENTER
1712226598604,adaptation,EXIT
1712226598604,baseline,ENTER
1712226778621,baseline,EXIT
1712226796395,tsst-prep,ENTER
1712226978934,tsst-prep,EXIT
1712226978934,tsst-speech,ENTER
1712227141401,tsst-speech,EXIT
1712227167119,meditation-1,ENTER
1712227466942,meditation-1,EXIT
1712227492718,screen-reading,ENTER
1712227691534,screen-reading,EXIT
1712227702103,ssst-prep,ENTER
1712227732863,ssst-prep,EXIT
1712227732863,ssst-sing,ENTER
1712227765662,ssst-sing,EXIT
1712227844478,meditation-2,ENTER
1712228146263,meditation-2,EXIT
1712228166030,keyboard-typing,ENTER
1712228343448,keyboard-typing,EXIT
1712228343448,rest-1,ENTER
1712228451019,rest-1,EXIT
1712228464910,mobile-typing,ENTER
1712228641846,mobile-typing,EXIT
1712228641846,rest-2,ENTER
1712228778608,rest-2,EXIT
1712228778608,standing,ENTER
1712228961494,standing,EXIT
1712228961494,rest-3,ENTER
1712229080509,rest-3,EXIT
1712229098545,walking,ENTER
1712229218458,walking,EXIT
1712229218458,rest-4,ENTER
1712229333106,rest-4,EXIT
1712229333106,jogging,ENTER
1712229451277,jogging,EXIT
1712229451277,rest-5,ENTER
1712229639188,rest-5,EXIT
1712229663099,running,ENTER
1712229785669,running,EXIT
