timestamp,session,status
1712022064816,adaptation,ENTER
1712022364910,adaptation,EXIT
1712022364910,baseline,ENTER
1712022544738,baseline,EXIT
1712022595309,tsst-prep,ENTER
1712022775477,tsst-prep,EXIT
1712022775477,tsst-speech,ENTER
1712022956356,tsst-speech,EXIT
1712023001532,meditation-1,ENTER
1712023301557,meditation-1,EXIT
1712023342559,screen-reading,ENTER
1712023522753,screen-reading,EXIT
1712023590822,ssst-prep,ENTER
1712023621028,ssst-prep,EXIT
1712023621028,ssst-sing,ENTER
1712023651654,ssst-sing,EXIT
1712023704626,meditation-2,ENTER
1712024004619,meditation-2,EXIT
1712024032683,keyboard-typing,ENTER
1712024212660,keyboard-typing,EXIT
1712024236007,rest-1,ENTER
1712024356299,rest-1,EXIT
1712024389022,mobile-typing,ENTER
1712024569038,mobile-typing,EXIT
1712024583362,rest-2,ENTER
1712024703512,rest-2,EXIT
1712024730824,standing,ENTER
1712024910991,standing,EXIT
1712024919250,rest-3,ENTER
1712025039264,rest-3,EXIT
1712025086684,walking,ENTER
1712025206613,walking,EXIT
1712025219190,rest-4,ENTER
1712025339121,rest-4,EXIT
1712025370277,jogging,ENTER
1712025490294,jogging,EXIT
1712025505201,rest-5,ENTER
1712025625808,rest-5,EXIT
1712025668311,running,ENTER
1712025788539,running,EXIT
