timestamp,session,status
1712016539746,adaptation,ENTER
1712016850461,adaptation,EXIT
1712016850461,baseline,ENTER
1712017033871,baseline,EXIT
1712017071501,tsst-prep,ENTER
1712017252428,tsst-prep,EXIT
1712017252428,tsst-speech,ENTER
1712017442441,tsst-speech,EXIT
1712017461592,meditation-1,ENTER
1712017766299,meditation-1,EXIT
1712017789988,screen-reading,ENTER
1712017984019,screen-reading,EXIT
1712017991583,ssst-prep,ENTER
1712018020985,ssst-prep,EXIT
1712018020985,ssst-sing,ENTER
1712018054994,ssst-sing,EXIT
1712018069021,meditation-2,ENTER
1712018377030,meditation-2,EXIT
1712018402078,keyboard-typing,ENTER
1712018591051,keyboard-typing,EXIT
1712018596373,rest-1,ENTER
1712018721859,rest-1,EXIT
1712018734802,mobile-typing,ENTER
1712018926128,mobile-typing,EXIT
1712018926128,rest-2,ENTER
1712019060582,rest-2,EXIT
1712019060582,standing,ENTER
1712019244960,standing,EXIT
1712019252591,rest-3,ENTER
1712019399812,rest-3,EXIT
1712019431857,walking,ENTER
1712019552069,walking,EXIT
1712019552069,rest-4,ENTER
1712019725494,rest-4,EXIT
1712019730791,jogging,ENTER
1712019852437,jogging,EXIT
1712019852437,rest-5,ENTER
1712020064940,rest-5,EXIT
1712020102477,running,ENTER
1712020224968,running,EXIT
