timestamp,session,status
1710812041683,adaptation,ENTER
1710812342009,adaptation,EXIT
1710812342009,baseline,ENTER
1710812525102,baseline,EXIT
1710812559816,tsst-prep,ENTER
1710812739432,tsst-prep,EXIT
1710812739432,tsst-speech,ENTER
1710812929001,tsst-speech,EXIT
1710812953077,meditation-1,ENTER
1710813256846,meditation-1,EXIT
1710813277695,screen-reading,ENTER
1710813461282,screen-reading,EXIT
1710813484564,ssst-prep,ENTER
1710813515758,ssst-prep,EXIT
1710813515758,ssst-sing,ENTER
1710813548349,ssst-sing,EXIT
1710813596962,meditation-2,ENTER
1710813898606,meditation-2,EXIT
1710813945879,keyboard-typing,ENTER
1710814127250,keyboard-typing,EXIT
1710814127250,rest-1,ENTER
1710814255113,rest-1,EXIT
1710814269110,mobile-typing,ENTER
1710814450794,mobile-typing,EXIT
1710814460501,rest-2,ENTER
1710814580813,rest-2,EXIT
1710814598170,standing,ENTER
1710814777831,standing,EXIT
1710814787971,rest-3,ENTER
1710814905937,rest-3,EXIT
1710814950006,walking,ENTER
1710815070051,walking,EXIT
1710815077938,rest-4,ENTER
1710815198532,rest-4,EXIT
1710815230335,jogging,ENTER
1710815350504,jogging,EXIT
1710815367867,rest-5,ENTER
1710815488031,rest-5,EXIT
1710815550075,running,ENTER
1710815668710,running,EXIT
