timestamp,session,status
1711437439660,adaptation,ENTER
1711437738566,adaptation,EXIT
1711437738566,baseline,ENTER
1711437918171,baseline,EXIT
1711437962395,tsst-prep,ENTER
1711438141710,tsst-prep,EXIT
1711438141710,tsst-speech,ENTER
1711438323038,tsst-speech,EXIT
1711438371959,meditation-1,ENTER
1711438671777,meditation-1,EXIT
1711438714180,screen-reading,ENTER
1711438894063,screen-reading,EXIT
1711438931170,ssst-prep,ENTER
1711438961173,ssst-prep,EXIT
1711438961173,ssst-sing,ENTER
1711438991176,ssst-sing,EXIT
1711439030495,meditation-2,ENTER
1711439330259,meditation-2,EXIT
1711439360408,keyboard-typing,ENTER
1711439540308,keyboard-typing,EXIT
1711439557801,rest-1,ENTER
1711439677801,rest-1,EXIT
1711439701757,mobile-typing,ENTER
1711439881984,mobile-typing,EXIT
1711439891279,rest-2,ENTER
1711440011331,rest-2,EXIT
1711440034517,standing,ENTER
1711440214719,standing,EXIT
1711440223082,rest-3,ENTER
1711440343009,rest-3,EXIT
1711440392838,walking,ENTER
1711440516451,walking,EXIT
1711440526960,rest-4,ENTER
1711440648002,rest-4,EXIT
1711440680294,jogging,ENTER
1711440800495,jogging,EXIT
1711440815262,rest-5,ENTER
1711440935265,rest-5,EXIT
1711440972043,running,ENTER
1711441091751,running,EXIT
