timestamp,session,status
1712209473413,adaptation,ENTER
1712209773435,adaptation,EXIT
1712209773435,baseline,ENTER
1712209953519,baseline,EXIT
1712210002095,tsst-prep,ENTER
1712210182309,tsst-prep,EXIT
1712210182309,tsst-speech,ENTER
1712210362361,tsst-speech,EXIT
1712210405651,meditation-1,ENTER
1712210705788,meditation-1,EXIT
1712210745717,screen-reading,ENTER
1712210925775,screen-reading,EXIT
1712210965758,ssst-prep,ENTER
1712210995977,ssst-prep,EXIT
1712210995977,ssst-sing,ENTER
1712211025935,ssst-sing,EXIT
1712211065852,meditation-2,ENTER
1712211365951,meditation-2,EXIT
1712211398805,keyboard-typing,ENTER
1712211578836,keyboard-typing,EXIT
1712211598959,rest-1,ENTER
1712211719098,rest-1,EXIT
1712211738202,mobile-typing,ENTER
1712211918162,mobile-typing,EXIT
1712211937725,rest-2,ENTER
1712212057669,rest-2,EXIT
1712212079108,standing,ENTER
1712212259513,standing,EXIT
1712212268279,rest-3,ENTER
1712212388436,rest-3,EXIT
1712212464512,walking,ENTER
1712212584539,walking,EXIT
1712212598395,rest-4,ENTER
1712212718473,rest-4,EXIT
1712212746649,jogging,ENTER
1712212866697,jogging,EXIT
1712212884370,rest-5,ENTER
1712213004535,rest-5,EXIT
1712213049662,running,ENTER
1712213169785,running,EXIT
