timestamp,session,status
1711590146017,adaptation,ENTER
1711590450196,adaptation,EXIT
1711590450196,baseline,ENTER
1711590630612,baseline,EXIT
1711590657369,tsst-prep,ENTER
1711590836400,tsst-prep,EXIT
1711590836400,tsst-speech,ENTER
1711591019487,tsst-speech,EXIT
1711591069115,meditation-1,ENTER
1711591373905,meditation-1,EXIT
1711591393824,screen-reading,ENTER
1711591577079,screen-reading,EXIT
1711591592198,ssst-prep,ENTER
1711591622880,ssst-prep,EXIT
1711591622880,ssst-sing,ENTER
1711591652670,ssst-sing,EXIT
1711591733811,meditation-2,ENTER
1711592035160,meditation-2,EXIT
1711592071587,keyboard-typing,ENTER
1711592252882,keyboard-typing,EXIT
1711592260002,rest-1,ENTER
1711592503309,rest-1,EXIT
1711592503309,mobile-typing,ENTER
1711592684220,mobile-typing,EXIT
1711592684220,rest-2,ENTER
1711592819725,rest-2,EXIT
1711592835974,standing,ENTER
1711593016910,standing,EXIT
1711593016910,rest-3,ENTER
1711593144484,rest-3,EXIT
1711593167322,walking,ENTER
1711593287680,walking,EXIT
1711593287680,rest-4,ENTER
1711593433968,rest-4,EXIT
1711593459882,jogging,ENTER
1711593582348,jogging,EXIT
1711593607040,rest-5,ENTER
1711593728289,rest-5,EXIT
1711593761681,running,ENTER
1711593882424,running,EXIT
