timestamp,session,status
1711005254614,adaptation,ENTER
1711005554550,adaptation,EXIT
1711005554550,baseline,ENTER
1711005732764,baseline,EXIT
1711005779099,tsst-prep,ENTER
1711005956546,tsst-prep,EXIT
1711005956546,tsst-speech,ENTER
1711006140112,tsst-speech,EXIT
1711006185412,meditation-1,ENTER
1711006483535,meditation-1,EXIT
1711006522649,screen-reading,ENTER
1711006702183,screen-reading,EXIT
1711006743658,ssst-prep,ENTER
1711006773589,ssst-prep,EXIT
1711006773589,ssst-sing,ENTER
1711006806242,ssst-sing,EXIT
1711006849904,meditation-2,ENTER
1711007147315,meditation-2,EXIT
1711007185109,keyboard-typing,ENTER
1711007364383,keyboard-typing,EXIT
1711007380662,rest-1,ENTER
1711007499201,rest-1,EXIT
1711007521611,mobile-typing,ENTER
1711007700563,mobile-typing,EXIT
1711007713474,rest-2,ENTER
1711007831141,rest-2,EXIT
1711007855138,standing,ENTER
1711008034401,standing,EXIT
1711008045293,rest-3,ENTER
1711008164477,rest-3,EXIT
1711008230089,walking,ENTER
1711008349396,walking,EXIT
1711008363336,rest-4,ENTER
1711008482600,rest-4,EXIT
1711008512534,jogging,ENTER
1711008630998,jogging,EXIT
1711008642955,rest-5,ENTER
1711008761485,rest-5,EXIT
1711008805110,running,ENTER
1711008922869,running,EXIT
