timestamp,session,status
1712814248238,adaptation,ENTER
1712814548392,adaptation,EXIT
1712814548392,baseline,ENTER
1712814728210,baseline,EXIT
1712814781170,tsst-prep,ENTER
1712814961179,tsst-prep,EXIT
1712814961179,tsst-speech,ENTER
1712815141172,tsst-speech,EXIT
1712815197115,meditation-1,ENTER
1712815497025,meditation-1,EXIT
1712815533549,screen-reading,ENTER
1712815713534,screen-reading,EXIT
1712815753865,ssst-prep,ENTER
1712815783999,ssst-prep,EXIT
1712815783999,ssst-sing,ENTER
1712815813678,ssst-sing,EXIT
1712815849050,meditation-2,ENTER
1712816149061,meditation-2,EXIT
1712816181501,keyboard-typing,ENTER
1712816361416,keyboard-typing,EXIT
1712816382571,rest-1,ENTER
1712816502546,rest-1,EXIT
1712816520610,mobile-typing,ENTER
1712816700599,mobile-typing,EXIT
1712816711644,rest-2,ENTER
1712816831603,rest-2,EXIT
1712816856394,standing,ENTER
1712817036284,standing,EXIT
1712817044722,rest-3,ENTER
1712817164734,rest-3,EXIT
1712817215461,walking,ENTER
1712817335383,walking,EXIT
1712817352290,rest-4,ENTER
1712817472161,rest-4,EXIT
1712817511420,jogging,ENTER
1712817631457,jogging,EXIT
1712817650161,rest-5,ENTER
1712817770141,rest-5,EXIT
1712817818027,running,ENTER
1712817938045,running,EXIT
